A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
2,002382,蓝帆医疗,19.28,0.65,3.49,26154,50446251,3.22,19.50,18.90,19.01,18.63,0.00,1.69,0.54,62.92,2.55,18586809200,9376355434,0.68%,43.77%,0.00,2010-04-02,2018-09-07 15:00:00,26154
2,002363,隆基机械,5.64,0.19,3.49,101440,57191848,10.28,5.98,5.42,5.45,5.45,-0.18,7.35,2.63,22.96,1.03,2346805642,2174397992,-9.47%,-35.02%,-0.18,2010-03-05,2018-09-07 15:00:00,101440
2,002427,*ST尤夫,8.93,0.30,3.48,72689,63670924,8.11,9.00,8.30,8.64,8.63,0.22,0.76,1.89,76.80,1.95,3555521217,3434969482,25.07%,-72.69%,0.00,2010-06-08,2018-09-07 15:00:00,72689
2,000509,华塑控股,2.98,0.10,3.47,271526,80037517,3.82,2.99,2.88,2.89,2.88,0.34,1.05,3.29,-,41.32,2459939704,2459930034,-8.59%,-45.92%,0.34,1993-05-07,2018-09-07 15:00:00,271526
2,002696,百洋股份,9.59,0.32,3.45,23184,21929601,2.91,9.59,9.32,9.33,9.27,0.31,1.00,1.31,37.64,1.75,3791029587,1699492165,-19.07%,-48.77%,0.10,2012-09-05,2018-09-07 15:00:00,23184
1,600867,通化东宝,17.45,0.58,3.44,255284,448822960,8.00,18.30,16.95,16.96,16.87,-0.17,0.73,1.29,33.38,7.59,35834549666,34434242299,-27.05%,-25.14%,-,1994-08-24,2018-09-07 15:00:00,255284
2,002422,科伦药业,28.00,0.93,3.44,98075,273562192,3.69,28.25,27.25,27.25,27.07,0.11,1.36,0.95,26.04,3.27,40315674000,28820316672,-10.71%,16.67%,0.18,2010-06-03,2018-09-07 15:00:00,98075
2,300724,捷佳伟创,34.47,1.14,3.42,307623,1037392864,5.94,34.58,32.60,33.00,33.33,1.23,1.22,38.45,29.89,5.24,11030400391,2757600098,69.05%,69.05%,0.20,2018-08-10,2018-09-07 15:00:00,307623
1,600856,中天能源,4.54,0.15,3.42,492838,222125694,6.38,4.64,4.36,4.38,4.39,0.44,1.01,3.67,18.87,1.27,6204610829,6099136119,-45.1%,-61.78%,0.00,1994-04-25,2018-09-07 15:00:00,492838
1,603566,普莱柯,14.84,0.49,3.41,6578,9651304,3.55,14.91,14.40,14.47,14.35,0.00,1.57,0.20,31.43,3.04,4804301649,4771000689,-21.15%,-37.09%,-0.07,2015-05-18,2018-09-07 15:00:00,6578
1,600614,鹏起科技,4.55,0.15,3.41,137880,61750115,3.41,4.55,4.40,4.43,4.40,1.11,1.42,1.07,25.41,1.57,7975120933,5873461658,-30.75%,-50.22%,0.22,1992-08-28,2018-09-07 15:00:00,137880
1,601789,宁波建工,3.67,0.12,3.38,124164,45398686,6.76,3.76,3.52,3.54,3.55,0.00,1.90,1.27,16.10,1.40,3582213674,3582213674,-2.91%,-19.52%,0.00,2011-08-16,2018-09-07 15:00:00,124164
2,002524,光正集团,5.22,0.17,3.37,147021,75784685,5.54,5.25,4.97,5.00,5.05,-0.38,1.38,2.93,-,3.35,2627397110,2615455839,-3.51%,-14.29%,0.00,2010-12-17,2018-09-07 15:00:00,147021
2,000533,万家乐,3.37,0.11,3.37,127198,42570668,4.60,3.41,3.26,3.27,3.26,-0.30,1.42,1.86,80.15,1.48,2328049841,2308121010,-14.47%,-68.12%,0.00,1994-01-03,2018-09-07 15:00:00,127198
